,tanggal,pm10,pm25,so2,co,o3,no2,co2
147,2022-03-24,47.85131,71.907906,30.792364,9.661001,20.271057,12.063557,1234.3539
148,2022-03-25,44.553646,72.48871,30.098116,10.4459915,18.209518,11.657734,1146.3528
149,2022-03-26,46.881866,72.91773,31.087252,8.811884,17.597328,10.053358,987.99493
150,2022-03-27,47.64558,81.24505,27.615618,8.515745,17.764887,11.115129,828.08234
151,2022-03-28,48.375076,82.14217,28.16871,8.302577,17.045084,9.365884,847.2296
152,2022-03-29,45.645405,76.90043,26.668076,7.7142587,21.158634,13.107278,819.8192
153,2022-03-30,43.713333,78.66978,27.824297,7.6089926,23.80151,15.028772,828.16516
154,2022-03-31,41.703056,70.365074,24.830976,6.17522,24.491701,11.274605,1071.9274
155,2022-04-01,43.60822,64.91916,23.99129,6.300895,24.410835,13.877492,822.2597
156,2022-04-02,32.420414,52.988277,25.643852,4.931874,21.398228,15.4015665,907.14264
157,2022-04-03,31.234236,55.63605,24.586855,6.041631,20.767044,13.498785,902.30383
158,2022-04-04,35.425682,59.060844,26.228926,8.3949995,19.405014,9.486322,914.03766
159,2022-04-05,42.146748,77.1096,27.533327,11.068925,19.409464,16.88825,1177.8307
160,2022-04-06,47.186916,81.80172,29.251804,12.536335,19.882757,15.152964,1447.1743
161,2022-04-07,33.348804,64.25811,24.554255,9.085956,19.397104,15.7322855,1037.2845
162,2022-04-08,43.74762,61.93919,23.67627,5.4759517,19.437088,17.199078,687.90393
163,2022-04-09,33.567776,53.974255,26.922926,4.700134,18.843945,8.999454,936.41675
164,2022-04-10,39.10162,64.35434,26.791124,8.675008,17.859873,12.084253,732.7567
165,2022-04-11,30.847258,64.31754,30.303875,6.5915985,18.785145,15.960286,1034.1088
166,2022-04-12,32.711304,71.92017,31.92727,10.841084,19.937063,15.172014,1259.1534
167,2022-04-13,47.66945,71.2315,28.835032,11.645569,21.026829,10.730843,1335.1298
168,2022-04-14,48.83874,76.788414,31.535242,11.799859,23.174942,17.40835,965.445
169,2022-04-15,45.10766,72.55671,33.02257,7.5104337,25.713259,21.676455,926.8442
170,2022-04-16,41.468525,76.62979,34.654587,7.147986,25.830051,19.512423,903.8849
171,2022-04-17,43.12059,77.26764,33.17748,8.14917,26.227833,18.468374,1336.4209
